"COD_DEPTO","DEPTO"
"85","CASANARE"
"81","ARAUCA"
"19","CAUCA"
"27","CHOCO"
"54","NORTE SANTANDER"
"73","TOLIMA"
"97","VAUPES"
"76","VALLE"
"70","SUCRE"
"05","ANTIOQUIA"
"44","LA GUAJIRA"
"66","RISARALDA"
"23","CORDOBA"
"91","AMAZONAS"
"20","CESAR"
"18","CAQUETA"
"52","NARIÑO"
"11","BOGOTÁ"
"86","PUTUMAYO"
"94","GUAINIA"
"41","HUILA"
"17","CALDAS"
"99","VICHADA"
"25","CUNDINAMARCA"
"08","ATLANTICO"
"13","BOLIVAR"
"95","GUAVIARE"
"63","QUINDIO"
"68","SANTANDER"
"47","MAGDALENA"
"50","META"
"15","BOYACA"
