CNS,COD_MCPIO,MCPIO
94.8,05001,Medellín
74.2,05002,Abejorral
79.3,05004,Abriaquí
90.2,05021,Alejandría
70.7,05030,Amagá
65.1,05031,Amalfi
62.0,05034,Andes
59.9,05036,Angelópolis
49.6,05038,Angostura
51.1,05040,Anorí
62.4,05042,Santafé de Antioquia
49.3,05044,Anza
48.3,05045,Apartadó
55.9,05051,Arboletes
66.4,05055,Argelia
72.7,05059,Armenia
71.8,05079,Barbosa
61.6,05086,Belmira
71.6,05088,Bello
59.0,05091,Betania
64.4,05093,Betulia
64.3,05101,Ciudad Bolívar
49.1,05107,Briceño
56.7,05113,Buriticá
52.0,05120,Cáceres
38.8,05125,Caicedo
84.0,05129,Caldas
41.1,05134,Campamento
65.8,05138,Cañasgordas
59.1,05142,Caracolí
65.8,05145,Caramanta
61.5,05147,Carepa
77.6,05148,El Carmen de Viboral
90.7,05150,Carolina
54.5,05154,Caucasia
64.2,05172,Chigorodó
93.0,05190,Cisneros
81.5,05197,Cocorná
95.3,05206,Concepción
58.4,05209,Concordia
91.2,05212,Copacabana
42.5,05234,Dabeiba
76.5,05237,Don Matías
67.1,05240,Ebéjico
60.7,05250,El Bagre
90.4,05264,Entrerrios
70.7,05266,Envigado
76.0,05282,Fredonia
74.4,05284,Frontino
82.9,05306,Giraldo
75.7,05308,Girardota
66.4,05310,Gómez Plata
85.6,05313,Granada
76.5,05315,Guadalupe
67.4,05318,Guarne
100.3,05321,Guatape
72.3,05347,Heliconia
77.2,05353,Hispania
68.1,05360,Itagüí
56.5,05361,Ituango
69.0,05364,Jardín
84.1,05368,Jericó
83.1,05376,La Ceja
92.8,05380,La Estrella
97.3,05390,La Pintada
83.9,05400,La Unión
63.9,05411,Liborina
91.1,05425,Maceo
85.9,05440,Marinilla
67.9,05467,Montebello
26.2,05475,Murindó
43.4,05480,Mutatá
36.6,05483,Nariño
58.8,05490,Necoclí
44.6,05495,Nechí
59.7,05501,Olaya
77.7,05541,Peñol
46.2,05543,Peque
72.8,05576,Pueblorrico
66.9,05579,Puerto Berrío
58.3,05585,Puerto Nare
61.7,05591,Puerto Triunfo
61.3,05604,Remedios
91.6,05607,Retiro
86.9,05615,Rionegro
71.9,05628,Sabanalarga
104.6,05631,Sabaneta
43.0,05642,Salgar
73.8,05647,San Andrés
72.8,05649,San Carlos
65.4,05652,San Francisco
73.6,05656,San Jerónimo
65.9,05658,San José de la Montaña
57.7,05659,San Juan de Urabá
82.7,05660,San Luis
85.4,05664,San Pedro
85.4,05665,San Pedro de Uraba
