,sigma2,mu,tau2
1000,77.10700405121138,237.54847208564215,398.14633155697726
1001,76.89510924819245,238.47981217365157,583.7398829031877
1002,77.01122756153725,234.18204136643718,354.4008275283441
1003,77.00705800781519,237.5005798188857,531.9823497822491
1004,77.05656895923225,229.6656076915169,490.2197778301134
1005,77.08129966181257,238.67665419166383,562.1839793193349
1006,77.35183652161416,238.5727454103993,392.1845596825338
1007,77.29692834962323,239.62956251230764,757.0526090828089
1008,77.37372216504258,241.0487369969964,539.460699046177
1009,77.36421733472072,234.36921841462734,619.3569319655569
1010,77.2650815659749,240.78559017438937,454.56106792489857
1011,77.50192308501107,235.47717903253093,490.9520364955046
1012,77.40671826057448,235.64756191551652,618.1547360200695
1013,77.5033661698989,242.3098634608735,327.30207785325257
1014,77.67911006825578,238.918444669779,585.921192037334
1015,77.54934801784817,238.0289994801802,503.0397125406419
1016,77.7516443881648,242.02247177815664,293.91929055445337
1017,77.90124383447858,240.57375640092116,513.5527862324401
1018,77.94780092967208,238.09463859529038,438.5347612379412
1019,77.63937082818134,244.14206976969962,400.07168088163183
1020,77.81454316283416,230.18907771554936,555.6497554544032
1021,77.94938592898863,234.46026391974308,347.05413039597533
1022,77.94444374170797,230.2522960668748,751.1161507277794
1023,77.92854344242622,239.57427562160944,332.5807444707235
1024,78.22582205801004,242.91179712942224,361.61155032630217
1025,78.21559451605451,244.91710266868824,474.8796074808086
1026,78.36785025607755,242.15231724798602,310.26429545905296
1027,78.22995519309374,238.49010517035586,512.652357815859
1028,78.32494294743955,236.64056456775424,312.05268579027063
1029,78.37169226063702,239.27210859921394,546.1177265369993
1030,78.55081083354816,236.2520380266346,424.76331327664104
1031,78.46437559074394,234.5664242931446,648.1529491231688
1032,78.47212658853392,233.5452469754402,317.72500337595034
1033,78.42382256726869,242.71200593172063,384.2964450769482
1034,78.51170367657973,235.85974316106825,348.72647001489736
1035,78.67383236154889,232.86294817621447,513.9317951185421
1036,78.56051887112248,234.83757778119573,261.91632530291895
1037,78.74464001952869,234.47709827074607,391.06343370069897
