,0
1000,-10123686.517895391
1001,-10146398.851985224
1002,-10133956.232838567
1003,-10134420.937893994
1004,-10129129.970251635
1005,-10126493.496691365
1006,-10097684.22062543
1007,-10103532.998789981
1008,-10095398.89869418
1009,-10096416.953188958
1010,-10106963.063615464
1011,-10081849.473977529
1012,-10091947.11120055
1013,-10081724.210886016
1014,-10063199.398799371
1015,-10076894.971172567
1016,-10055603.857117139
1017,-10039926.09884897
1018,-10035069.44084541
1019,-10067442.038697485
1020,-10049051.665639477
1021,-10034941.48994086
1022,-10035473.143134702
1023,-10037147.015366998
1024,-10006198.79759261
1025,-10007270.743946392
1026,-9991507.987887435
1027,-10005801.740558248
1028,-9995979.066882195
1029,-9991153.402326148
1030,-9972688.923588477
1031,-9981612.771118702
1032,-9980823.360525826
1033,-9985820.252132898
1034,-9976773.55020008
1035,-9960113.05101024
1036,-9971773.109136863
1037,-9952888.649714742
1038,-9960974.590226311
1039,-9941171.742918914
1040,-9950608.908202576
1041,-9938848.396066556
1042,-9937392.242098812
1043,-9923851.26590978
1044,-9924285.867073601
1045,-9914371.837569097
1046,-9910652.985395564
1047,-9917471.664427575
1048,-9895392.376662232
1049,-9906950.596724013
1050,-9899216.204496391
1051,-9884821.301267315
1052,-9874411.291029755
1053,-9859100.51030217
1054,-9877587.775494881
1055,-9856111.796928372
1056,-9849176.533072492
1057,-9847546.06040486
1058,-9845768.923609642
1059,-9850110.092296602
1060,-9834314.010759294
1061,-9841633.62469261
1062,-9852660.763305584
1063,-9809084.214224564
1064,-9826764.636354236
1065,-9824284.88588118
1066,-9807679.128628932
1067,-9802719.976149179
1068,-9810577.316720214
1069,-9794691.028004562
1070,-9799072.063367186
1071,-9783785.9456651
1072,-9800474.918049438
1073,-9785160.480307486
1074,-9784773.546291811
1075,-9770967.531723851
1076,-9765290.836767433
1077,-9747029.644911386
1078,-9760268.617358427
1079,-9742219.91982574
1080,-9750772.566969916
1081,-9745840.102776593
1082,-9730602.45726141
1083,-9724531.757135877
1084,-9727821.911360718
1085,-9736713.873241583
1086,-9723989.009331424
1087,-9698070.673778119
1088,-9701281.810210807
1089,-9692287.141430877
1090,-9706401.114991643
1091,-9709676.132598031
1092,-9702130.405222934
1093,-9680531.99182545
1094,-9696008.982222816
1095,-9666554.816033397
1096,-9685897.763478216
1097,-9667543.60276841
1098,-9672489.539106946
1099,-9668899.338568727
1100,-9658838.421306524
1101,-9643389.551093822
1102,-9663738.784404717
1103,-9651625.803248495
1104,-9653699.967915807
1105,-9642451.024026098
1106,-9622100.21826773
1107,-9605754.279541139
1108,-9634411.992292788
1109,-9606765.154046863
1110,-9617653.322422318
1111,-9596988.111095836
1112,-9616272.61178952
1113,-9603745.067737808
1114,-9595142.677512499
1115,-9587949.577184096
1116,-9576131.968283199
1117,-9572961.529623734
1118,-9577920.221547898
1119,-9586695.61328189
1120,-9568258.039780887
1121,-9559934.55130897
1122,-9558516.014271505
1123,-9559146.624431426
1124,-9555579.214178145
1125,-9549001.579406096
1126,-9541097.35812978
1127,-9553074.449336521
1128,-9532621.330111284
1129,-9529309.388239441
1130,-9531180.488761624
1131,-9524845.663267434
1132,-9518878.998940153
1133,-9507820.025419218
1134,-9508891.932524804
1135,-9504644.99276522
1136,-9514457.74267874
1137,-9511172.544538207
1138,-9500856.675435547
1139,-9486634.897822153
1140,-9482611.241391871
1141,-9473150.77259062
1142,-9483133.2031713
1143,-9468117.78256532
1144,-9465915.682443747
1145,-9465738.220772875
1146,-9471084.698907174
1147,-9435735.011842724
1148,-9462342.077416899
1149,-9451623.457559874
1150,-9434598.774576005
1151,-9438046.60191251
1152,-9430402.097208707
1153,-9432191.258975713
1154,-9421496.076138483
1155,-9423079.41443782
1156,-9424158.318401298
1157,-9417569.13853262
1158,-9406385.199176963
1159,-9406854.859760065
1160,-9413504.544200372
1161,-9394854.394057883
1162,-9378627.16824428
1163,-9379598.212489063
1164,-9381807.031404171
1165,-9389868.360162117
1166,-9367585.402080104
1167,-9380852.08313475
1168,-9374898.061901584
1169,-9353616.542968262
1170,-9362380.701528193
1171,-9371511.594327498
1172,-9350787.199623415
1173,-9349664.711246923
1174,-9358597.603129722
1175,-9353607.500250591
1176,-9339713.739842461
1177,-9324370.38172988
1178,-9326018.13768925
1179,-9326396.517187255
1180,-9312957.99789618
1181,-9306845.45367869
1182,-9295388.048664862
1183,-9322914.555559631
1184,-9297806.829829859
1185,-9301717.789777715
1186,-9300579.972983543
1187,-9280566.281963523
1188,-9283883.63656976
1189,-9286445.557389826
1190,-9280179.238253184
1191,-9283840.998826476
1192,-9278809.88851884
1193,-9274885.064736305
1194,-9269635.903644891
1195,-9261785.848040206
1196,-9260225.812108241
1197,-9245450.590131402
1198,-9246598.593648182
1199,-9249295.202319728
1200,-9237363.542487904
1201,-9253116.87290608
1202,-9234475.335717399
1203,-9254405.849377008
1204,-9229925.041124944
1205,-9214234.995795378
1206,-9216161.338393772
1207,-9209080.853547452
1208,-9196700.587052636
1209,-9202638.409488698
1210,-9209972.93708282
1211,-9209369.76636615
1212,-9196741.758882167
1213,-9196325.514395844
1214,-9184955.772395127
1215,-9182786.250186156
1216,-9167916.626809286
1217,-9173417.268272603
1218,-9180653.336385993
1219,-9173289.121782498
1220,-9179684.962295104
1221,-9156132.588475227
1222,-9167421.263491841
1223,-9146493.334969802
1224,-9131658.933629071
1225,-9155690.722429832
1226,-9134838.195281427
1227,-9124067.361682005
1228,-9136695.663003318
